"source,""target"",""path"",""path_length"",""path_sign"""
"Discharge Planning Quality,""30-Day Readmission Rate"",""Discharge Planning Quality -> Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",8,""+"""
"Discharge Planning Quality,""30-Day Readmission Rate"",""Discharge Planning Quality -> Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate"",5,""+"""
"Discharge Planning Quality,""30-Day Readmission Rate"",""Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",2,""-"""
"Discharge Planning Quality,""30-Day Readmission Rate"",""Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",3,""-"""
"Discharge Planning Quality,""30-Day Readmission Rate"",""Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",4,""-"""
"Early Detection Rate,""30-Day Readmission Rate"",""Early Detection Rate -> 30-Day Readmission Rate"",1,""-"""
"Emergency Department Visits/Prior Hospitalization,""30-Day Readmission Rate"",""Emergency Department Visits/Prior Hospitalization -> Patient Clinical Risk Profile -> 30-Day Readmission Rate"",2,""+"""
"Financial Strain,""30-Day Readmission Rate"",""Financial Strain -> Socio-economic Vulnerability -> Medication Adherence -> Complications -> 30-Day Readmission Rate"",4,""+"""
"Financial Strain,""30-Day Readmission Rate"",""Financial Strain -> Socio-economic Vulnerability -> Post-Discharge self-management -> Complications -> 30-Day Readmission Rate"",4,""+"""
"Frailty/Functional Status,""30-Day Readmission Rate"",""Frailty/Functional Status -> Patient Clinical Risk Profile -> 30-Day Readmission Rate"",2,""+"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",9,""-"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",10,""-"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",11,""-"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",6,""-"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",7,""-"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",8,""-"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",10,""-"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",11,""-"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",12,""-"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",7,""-"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",8,""-"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",9,""-"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Average LOS -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",4,""+"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",5,""+"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",6,""+"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",8,""+"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate"",5,""+"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",3,""-"""
"Funding for Community Care/Services,""30-Day Readmission Rate"",""Funding for Community Care/Services -> Unmet ADL needs -> Premature Discharge Risk -> 30-Day Readmission Rate"",3,""-"""
"Funding for Quality Improvement,""30-Day Readmission Rate"",""Funding for Quality Improvement -> Discharge Planning Quality -> Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",9,""+"""
"Funding for Quality Improvement,""30-Day Readmission Rate"",""Funding for Quality Improvement -> Discharge Planning Quality -> Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate"",6,""+"""
"Funding for Quality Improvement,""30-Day Readmission Rate"",""Funding for Quality Improvement -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",3,""-"""
"Funding for Quality Improvement,""30-Day Readmission Rate"",""Funding for Quality Improvement -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",4,""-"""
"Funding for Quality Improvement,""30-Day Readmission Rate"",""Funding for Quality Improvement -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",5,""-"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Municipal Investment -> Access to Primary/Outpatient Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",5,""-"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",9,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",10,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",11,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Efficiency Mandates -> Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",13,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Efficiency Mandates -> Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate"",10,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Average LOS -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",9,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",10,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",11,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",13,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate"",10,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",17,""-"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate"",14,""-"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",11,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",12,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",13,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",14,""-"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate"",11,""-"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",8,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",9,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",10,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",10,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",11,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",12,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Hospital Efficiency Mandates -> Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",14,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Hospital Efficiency Mandates -> Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate"",11,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Average LOS -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",10,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",11,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",12,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",14,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate"",11,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",18,""-"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate"",15,""-"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate"",12,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",13,""+"""
"Health Expenditure (GDP-Percent),""30-Day Readmission Rate"",""Health Expenditure (GDP-Percent) -> Hospital Budget Allocation -> Hospital Capacity strain -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",14,""+"""
