"loop_id,""loop"",""length"",""sign"",""polarity"",""length_bin"""
"92,""Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services"",9,-1,""balancing"",""long_9_to_16"""
"93,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality"",9,-1,""balancing"",""long_9_to_16"""
"94,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality"",9,-1,""balancing"",""long_9_to_16"""
"95,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality"",9,-1,""balancing"",""long_9_to_16"""
"96,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality"",9,-1,""balancing"",""long_9_to_16"""
"97,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Patients Satisfaction -> Policy Support for Quality -> Funding for Quality Improvement -> Discharge Planning Quality"",9,-1,""balancing"",""long_9_to_16"""
"98,""Hospital Efficiency Mandates -> Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure"",9,-1,""balancing"",""long_9_to_16"""
"99,""30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy"",10,1,""reinforcing"",""long_9_to_16"""
"100,""Average LOS -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment"",10,1,""reinforcing"",""long_9_to_16"""
"101,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Patients Satisfaction -> Policy Support for Quality -> Funding for Quality Improvement -> Discharge Planning Quality"",10,1,""reinforcing"",""long_9_to_16"""
"102,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Operating Costs -> Pressure for Cost Containment"",10,1,""reinforcing"",""long_9_to_16"""
"103,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services"",10,1,""reinforcing"",""long_9_to_16"""
"104,""Hospital Efficiency Mandates -> Average LOS -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure"",10,1,""reinforcing"",""long_9_to_16"""
"105,""Hospital Efficiency Mandates -> Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Operating Costs"",10,1,""reinforcing"",""long_9_to_16"""
"106,""Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate"",10,1,""reinforcing"",""long_9_to_16"""
"107,""Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions"",10,1,""reinforcing"",""long_9_to_16"""
"108,""Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Hospital Admissions"",10,1,""reinforcing"",""long_9_to_16"""
"109,""Hospital Operating Costs -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate"",10,1,""reinforcing"",""long_9_to_16"""
"110,""Average LOS -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services"",10,-1,""balancing"",""long_9_to_16"""
"111,""Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Policy Attention to Readmission -> Funding for Community Care/Services"",10,-1,""balancing"",""long_9_to_16"""
"112,""Average LOS -> Pressure for Early Discharge -> Clinical Stability -> Premature Discharge Risk -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment -> Discharge Planning Quality"",10,-1,""balancing"",""long_9_to_16"""
"113,""Hospital Efficiency Mandates -> Average LOS -> Hospital Operating Costs -> Pressure for Cost Containment -> Discharge Planning Quality -> Continuity of Care -> Medication Reconciliation Accuracy -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure"",10,-1,""balancing"",""long_9_to_16"""
"114,""30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure -> Pressure for Cost Containment -> Staffing Levels -> Workload -> Medical Error Rate (Care Quality) -> Discharge Planning Quality -> Continuity of Care -> Post-Discharge Follow-up Quality -> Early Detection Rate"",11,1,""reinforcing"",""long_9_to_16"""
"115,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Budget Pressure -> Pressure for Cost Containment"",11,1,""reinforcing"",""long_9_to_16"""
"116,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Admissions -> Hospital Operating Costs -> Pressure for Cost Containment"",11,1,""reinforcing"",""long_9_to_16"""
"117,""Average LOS -> Pressure for Early Discharge -> Post Discharge Care Needs -> Municipal Care Burden/Workload -> Care Gaps -> Post-Discharge Follow-up Quality -> Early Detection Rate -> 30-Day Readmission Rate -> Hospital Operating Costs -> Hospital Budget Pressure -> Pressure for Cost Containment"",11,1,""reinforcing"",""long_9_to_16"""
